Municipality,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,est_2023,est_2024
Norwell,1460,1410,1348,1519,1871,2515,5207,7796,9182,9279,9765,10506,11351,11299,11477
Norwood,5480,8011,12627,15049,15383,16636,24898,30815,29711,28700,28587,28602,31611,31230,31764
Peabody,11523,15721,19552,21345,21711,22645,32202,48080,45976,47039,48129,51251,54481,54056,55418
Pembroke,1240,1336,1858,1492,1718,2579,4919,11193,13487,14544,16927,17837,18361,18286,18428
Quincy,23899,32642,47876,71983,75810,83835,87409,87966,84743,84985,88025,92271,101636,101597,103434
Randolph,3993,4301,4756,6553,7634,9982,18900,27035,28218,30093,30963,32112,34984,34487,35114
Reading,4969,5818,7439,9767,10866,14006,19259,22539,22678,22539,23709,24747,25518,25428,26041
Revere,13050,18219,28823,35680,34405,36763,40080,43159,42423,42786,47283,51755,62186,57954,60702
Rockland,5327,6928,7544,7524,8087,8960,13119,15674,15695,16123,17670,17489,17803,17594,17708
Rockport,4592,4211,3878,3630,3556,4231,4616,5636,6345,7482,7767,6952,6992,6988,7091
Salem,35956,43697,42629,43353,41213,41880,39211,40556,38220,38091,40407,41340,44480,44744,45677
Saugus,5081,8047,10874,14700,14825,17162,20666,25110,24746,25549,26078,26628,28619,28630,29029
Scituate,2470,2482,2534,3118,4130,5993,11214,16973,17317,16786,17863,18133,19063,19297,19598
Sharon,2000,2310,2407,3351,3737,4847,10070,12367,13601,15517,17408,17612,18575,18442,18762
Sherborn,1483,1428,1558,943,1022,1245,1806,3309,4049,3989,4200,4119,4401,4409,4485
Somerville,61643,77236,93091,103908,102177,102351,94697,88779,77372,76210,77600,75754,81045,80407,82149
Southborough,1921,1745,1838,2166,2231,2760,3996,5798,6193,6628,8781,9767,10450,10429,10569
Stoneham,6197,7090,7873,10060,10765,13229,17821,20725,21424,22203,22219,21437,23244,22854,24550
Stoughton,5442,6316,6865,8204,8632,11146,16328,23459,26710,26777,27149,26962,29281,28962,29457
Stow,1002,1115,1101,1142,1243,1700,2573,3984,5144,5328,5902,6590,7174,7088,7335
Sudbury,1150,1120,1121,1182,1754,2596,7447,13506,14027,14358,16841,17659,18934,19394,19805
Swampscott,4648,6204,8101,10346,10761,11580,13294,13578,13837,13650,14412,13787,15111,15487,15658
Topsfield,1030,1174,900,986,1150,1412,3351,5225,5709,5754,6141,6085,6569,6544,6620
Wakefield,9290,11404,13025,16318,16223,19633,24295,25402,24895,24825,24804,24932,27090,27810,29216
Walpole,3572,4892,5446,7273,7443,9109,14068,18149,18859,20212,22824,24070,26383,25964,26391
Waltham,23481,27834,30915,39247,40020,47187,55413,61582,58200,57878,59226,60632,65218,64477,65849
Watertown,9706,12875,21457,34913,35427,37329,39092,39307,34384,33284,32986,31915,35329,35256,35985
Wayland,2303,2206,1935,2937,3505,4407,10444,13461,12170,11874,13100,12994,13943,13752,14054
Wellesley,5072,5413,6224,11439,15127,20549,26071,28051,27209,26615,27046,27982,29550,30733,31242
Wenham,847,1010,1090,1119,1220,1644,2798,3849,3897,4212,4656,4875,4979,4957,4945
Weston,1834,2106,2282,3332,3590,5026,8261,10870,11169,10200,11469,11261,11851,11645,11827
Westwood,2926,3406,3595,2097,3376,5837,10354,12750,13212,12557,14117,14618,16266,16244,16533
Weymouth,11448,12895,15057,20882,23868,32690,48177,54610,55601,54063,53988,53743,57437,59114,60159
Wilmington,1596,1858,2581,4013,4645,7039,12475,17102,17471,17651,21363,22325,23349,23148,23802
Winchester,7248,9309,10485,12719,15081,15509,19376,22269,20701,20267,20810,21374,22970,22837,23953
Winthrop,6058,10132,15455,16852,16768,19496,20303,20335,19294,18127,18303,17497,19316,18319,18739
Woburn,14254,14254,16574,19434,19751,20492,31214,37406,36626,35943,37257,38120,40876,41647,43895
Wrentham,2720,1743,2808,3584,4674,5341,6685,7315,7580,9006,10554,10955,12178,12543,12516
