Municipality,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Hanover,2100,2117,2135,2152,2169,2187,2204,2222,2239,2256,2274,2291,2309,2326,2351,2376,2401,2426,2450,2475,2500,2525,2550,2575,2598,2622,2645,2668,2692,2715,2738,2761,2785,2808,2815,2821,2828,2835,2842,2848,2855,2862,2868,2875,2926,2978,3029,3081,3132,3183,3235,3286,3338,3389,3642,3896,4149,4403,4656,4909,5163,5416,5670,5923,6341,6760,7178,7597,8015,8433,8852,9270,9689,10107,10232,10357,10482,10607,10732,10858,10983,11108,11233,11358,11413,11469,11524,11580,11635,11690,11746,11801,11857,11912,12037,12162,12288,12413,12538,12663,12788,12914,13039,13164,13236,13307,13378,13450,13522,13593,13664,13736,13808,13879,13974,14070,14165,14261,14356,14451,14547,14642,14738,14833,14806,14780,14753,14887,15021
Hingham,5087,5078,5068,5059,5050,5040,5031,5021,5012,5003,4993,4984,4974,4965,5029,5093,5157,5221,5284,5348,5412,5476,5540,5604,5709,5815,5920,6025,6130,6236,6341,6446,6552,6657,6792,6926,7061,7195,7330,7465,7599,7734,7868,8003,8269,8535,8802,9068,9334,9600,9866,10133,10399,10665,11136,11608,12079,12550,13022,13493,13964,14435,14907,15378,15725,16071,16418,16765,17112,17458,17805,18152,18498,18845,18994,19144,19293,19443,19592,19741,19891,20040,20190,20339,20287,20235,20184,20132,20080,20028,19976,19925,19873,19821,19827,19833,19839,19845,19852,19858,19864,19870,19876,19882,20110,20337,20564,20792,21020,21247,21474,21702,21930,22157,22370,22582,22795,23008,23220,23433,23646,23859,24071,24284,24252,24221,24189,24414,24639
Holbrook,2055,2113,2171,2229,2287,2345,2403,2461,2520,2578,2636,2694,2752,2810,2843,2876,2909,2942,2976,3009,3042,3075,3108,3141,3162,3183,3205,3226,3247,3268,3289,3311,3332,3353,3351,3348,3346,3344,3342,3339,3337,3335,3332,3330,3397,3465,3532,3600,3667,3734,3802,3869,3937,4004,4614,5224,5834,6444,7054,7664,8274,8884,9494,10104,10271,10438,10605,10772,10940,11107,11274,11441,11608,11775,11712,11648,11584,11521,11458,11394,11330,11267,11204,11140,11130,11120,11110,11100,11090,11081,11071,11061,11051,11041,11015,10990,10964,10939,10913,10887,10862,10836,10811,10785,10786,10786,10787,10787,10788,10789,10789,10790,10790,10791,10852,10914,10975,11037,11098,11159,11221,11282,11344,11405,11365,11324,11284,11475,11666
Holliston,2564,2575,2587,2598,2609,2621,2632,2643,2654,2666,2677,2688,2700,2711,2650,2589,2528,2467,2406,2345,2284,2223,2162,2101,2177,2254,2330,2406,2482,2559,2635,2711,2788,2864,2878,2891,2905,2918,2932,2946,2959,2973,2986,3000,3075,3151,3226,3301,3376,3452,3527,3602,3678,3753,4000,4247,4494,4741,4988,5234,5481,5728,5975,6222,6807,7391,7976,8561,9146,9730,10315,10900,11484,12069,12124,12180,12235,12290,12346,12401,12456,12511,12567,12622,12652,12683,12713,12744,12774,12804,12835,12865,12896,12926,13014,13101,13188,13276,13364,13451,13538,13626,13714,13801,13776,13750,13725,13699,13674,13649,13623,13598,13572,13547,13692,13837,13982,14127,14272,14416,14561,14706,14851,14996,15002,15009,15015,15347,15679
Hopkinton,2674,2657,2640,2623,2606,2589,2572,2555,2538,2520,2503,2486,2469,2452,2436,2419,2403,2387,2370,2354,2338,2322,2305,2289,2316,2344,2371,2399,2426,2453,2481,2508,2536,2563,2576,2590,2603,2617,2630,2643,2657,2670,2684,2697,2776,2855,2934,3013,3092,3170,3249,3328,3407,3486,3631,3775,3920,4064,4209,4354,4498,4643,4787,4932,5037,5142,5247,5352,5456,5561,5666,5771,5876,5981,6094,6208,6321,6434,6548,6661,6774,6887,7001,7114,7322,7529,7737,7945,8152,8360,8568,8776,8983,9191,9606,10022,10438,10853,11268,11684,12100,12515,12930,13346,13504,13662,13820,13978,14136,14293,14451,14609,14767,14925,15308,15692,16075,16458,16842,17225,17608,17991,18375,18758,19019,19279,19540,19971,20402
Hudson,5067,5196,5325,5454,5583,5712,5841,5970,6098,6227,6356,6485,6614,6743,6829,6916,7002,7089,7175,7261,7348,7434,7521,7607,7693,7779,7866,7952,8038,8124,8210,8297,8383,8469,8426,8384,8341,8298,8256,8213,8170,8127,8085,8042,8059,8076,8093,8110,8126,8143,8160,8177,8194,8211,8356,8502,8648,8793,8938,9084,9230,9375,9520,9666,10308,10950,11591,12233,12875,13517,14159,14800,15442,16084,16116,16149,16181,16214,16246,16278,16311,16343,16376,16408,16490,16573,16656,16738,16820,16903,16986,17068,17150,17233,17321,17409,17497,17585,17673,17761,17849,17937,18025,18113,18208,18303,18398,18493,18588,18683,18778,18873,18968,19063,19166,19269,19372,19475,19578,19680,19783,19886,19989,20092,20029,19967,19904,20364,20824
Hull,1583,1623,1663,1703,1743,1783,1823,1863,1903,1943,1983,2023,2063,2103,2070,2037,2003,1970,1937,1904,1871,1837,1804,1771,1799,1826,1854,1881,1909,1937,1964,1992,2019,2047,2059,2071,2083,2095,2107,2119,2131,2143,2155,2167,2288,2409,2531,2652,2773,2894,3015,3137,3258,3379,3747,4114,4482,4849,5217,5585,5952,6320,6687,7055,7346,7636,7927,8217,8508,8799,9089,9380,9670,9961,9936,9912,9887,9862,9838,9813,9788,9763,9739,9714,9789,9864,9940,10015,10090,10165,10240,10316,10391,10466,10524,10583,10641,10700,10758,10816,10875,10933,10992,11050,10974,10899,10823,10747,10672,10596,10520,10444,10369,10293,10271,10249,10227,10205,10182,10160,10138,10116,10094,10072,10084,10096,10108,10278,10448
Ipswich,4751,4830,4909,4988,5067,5146,5225,5304,5382,5461,5540,5619,5698,5777,5819,5862,5904,5947,5989,6031,6074,6116,6159,6201,6141,6081,6020,5960,5900,5840,5780,5719,5659,5599,5674,5749,5824,5899,5974,6048,6123,6198,6273,6348,6403,6457,6512,6567,6622,6676,6731,6786,6840,6895,7060,7225,7390,7555,7720,7884,8049,8214,8379,8544,8765,8985,9206,9426,9647,9868,10088,10309,10529,10750,10791,10832,10872,10913,10954,10995,11036,11076,11117,11158,11230,11301,11372,11444,11516,11587,11658,11730,11802,11873,11984,12096,12207,12319,12430,12541,12653,12764,12876,12987,13006,13025,13043,13062,13081,13100,13119,13137,13156,13175,13236,13297,13358,13419,13480,13541,13602,13663,13724,13785,13824,13864,13903,14110,14317
Lexington,3775,3794,3812,3831,3850,3868,3887,3906,3924,3943,3962,3981,3999,4018,4251,4484,4718,4951,5184,5417,5650,5884,6117,6350,6662,6973,7285,7597,7908,8220,8532,8844,9155,9467,9839,10211,10583,10955,11327,11699,12071,12443,12815,13187,13602,14017,14431,14846,15261,15676,16091,16505,16920,17335,18371,19406,20442,21477,22513,23549,24584,25620,26655,27691,28110,28530,28950,29369,29788,30208,30628,31047,31466,31886,31645,31405,31164,30923,30682,30442,30201,29960,29720,29479,29428,29378,29328,29277,29226,29176,29126,29075,29024,28974,29112,29250,29388,29526,29664,29803,29941,30079,30217,30355,30459,30563,30667,30771,30874,30978,31082,31186,31290,31394,31700,32006,32312,32618,32924,33230,33536,33842,34148,34454,34263,34073,33882,34743,35604
Lincoln,1113,1117,1122,1127,1132,1137,1141,1146,1151,1156,1161,1165,1170,1175,1162,1148,1135,1122,1108,1095,1082,1069,1055,1042,1087,1132,1177,1222,1268,1313,1358,1403,1448,1493,1522,1551,1580,1609,1638,1667,1696,1725,1754,1783,1847,1912,1976,2041,2105,2169,2234,2298,2363,2427,2746,3064,3383,3701,4020,4339,4657,4976,5294,5613,5808,6004,6199,6395,6590,6785,6981,7176,7372,7567,7520,7473,7426,7379,7332,7286,7239,7192,7145,7098,7155,7212,7268,7325,7382,7439,7496,7552,7609,7666,7705,7744,7783,7822,7861,7900,7939,7978,8017,8056,7887,7717,7548,7378,7209,7040,6870,6701,6531,6362,6427,6492,6558,6623,6688,6753,6818,6884,6949,7014,6972,6931,6889,6996,7103
Littleton,1166,1170,1174,1179,1184,1188,1192,1197,1202,1206,1210,1215,1220,1224,1229,1235,1240,1245,1250,1256,1261,1266,1272,1277,1294,1311,1328,1345,1362,1379,1396,1413,1430,1447,1467,1488,1508,1529,1549,1569,1590,1610,1631,1651,1721,1791,1860,1930,2000,2070,2140,2209,2279,2349,2625,2901,3177,3453,3729,4005,4281,4557,4833,5109,5236,5363,5490,5617,5744,5872,5999,6126,6253,6380,6439,6498,6557,6616,6675,6734,6793,6852,6911,6970,6978,6986,6994,7002,7010,7019,7027,7035,7043,7051,7164,7278,7391,7504,7618,7731,7844,7957,8071,8184,8258,8332,8406,8480,8554,8628,8702,8776,8850,8924,9046,9167,9289,9411,9532,9654,9776,9898,10019,10141,10178,10214,10251,10495,10739
Lynn,62266,64348,66431,68513,70595,72678,74760,76842,78924,81007,83089,85171,87254,89336,90317,91298,92280,93261,94242,95223,96204,97186,98167,99148,99465,99782,100100,100417,100734,101051,101368,101686,102003,102320,101900,101481,101061,100641,100222,99802,99382,98962,98543,98123,98284,98446,98608,98769,98930,99092,99254,99415,99576,99738,99212,98686,98160,97634,97108,96582,96056,95530,95004,94478,94060,93641,93223,92804,92386,91968,91549,91131,90712,90294,89112,87929,86747,85565,84382,83200,82018,80836,79653,78471,78748,79026,79303,79581,79858,80135,80413,80690,80968,81245,82026,82806,83586,84367,85148,85928,86708,87489,88270,89050,89178,89306,89434,89562,89690,89817,89945,90073,90201,90329,91421,92514,93606,94699,95791,96883,97976,99068,100161,101253,101249,101245,101241,103489,105737
Lynnfield,881,883,886,888,890,893,895,897,900,902,904,906,909,911,934,958,981,1005,1028,1051,1075,1098,1122,1145,1190,1235,1280,1325,1370,1414,1459,1504,1549,1594,1663,1733,1802,1871,1940,2010,2079,2148,2218,2287,2451,2615,2779,2943,3107,3271,3435,3599,3763,3927,4374,4821,5268,5715,6162,6610,7057,7504,7951,8398,8641,8884,9126,9369,9612,9855,10098,10340,10583,10826,10870,10914,10958,11002,11046,11091,11135,11179,11223,11267,11268,11268,11269,11270,11270,11271,11272,11273,11273,11274,11301,11328,11354,11381,11408,11435,11462,11488,11515,11542,11547,11553,11558,11564,11569,11574,11580,11585,11591,11596,11736,11877,12017,12158,12298,12438,12579,12719,12860,13000,13011,13023,13034,13230,13426
Malden,30438,31512,32587,33661,34735,35810,36884,37958,39032,40107,41181,42255,43330,44404,44874,45344,45814,46284,46754,47223,47693,48163,48633,49103,49996,50890,51783,52676,53570,54463,55356,56249,57143,58036,58033,58031,58028,58026,58023,58020,58018,58015,58013,58010,58189,58369,58548,58728,58907,59086,59266,59445,59625,59804,59591,59378,59166,58953,58740,58527,58314,58102,57889,57676,57521,57366,57211,57056,56902,56747,56592,56437,56282,56127,55853,55579,55305,55031,54756,54482,54208,53934,53660,53386,53436,53486,53535,53585,53635,53685,53735,53784,53834,53884,54130,54376,54622,54868,55114,55361,55607,55853,56099,56345,56656,56966,57276,57587,57898,58208,58518,58829,59140,59450,60131,60813,61494,62175,62856,63538,64219,64900,65582,66263,65886,65510,65133,66693,68253
Manchester,2477,2492,2507,2522,2537,2552,2567,2582,2598,2613,2628,2643,2658,2673,2652,2632,2611,2590,2570,2549,2528,2507,2487,2466,2483,2500,2517,2534,2551,2568,2585,2602,2619,2636,2620,2603,2587,2570,2554,2538,2521,2505,2488,2472,2512,2551,2591,2630,2670,2710,2749,2789,2828,2868,2974,3081,3187,3294,3400,3506,3613,3719,3826,3932,4054,4176,4298,4420,4542,4663,4785,4907,5029,5151,5178,5206,5233,5260,5288,5315,5342,5369,5397,5424,5410,5396,5383,5369,5355,5341,5327,5314,5300,5286,5280,5274,5269,5263,5257,5251,5245,5240,5234,5228,5219,5210,5200,5191,5182,5173,5164,5154,5145,5136,5162,5188,5214,5240,5266,5291,5317,5343,5369,5395,5395,5396,5396,5467,5538
Marblehead,7785,7751,7716,7682,7648,7613,7579,7544,7510,7476,7441,7407,7372,7338,7337,7335,7334,7332,7331,7330,7328,7327,7325,7324,7458,7593,7727,7862,7996,8130,8265,8399,8534,8668,8887,9106,9324,9543,9762,9981,10200,10418,10637,10856,11147,11438,11729,12020,12310,12601,12892,13183,13474,13765,14241,14716,15192,15667,16143,16619,17094,17570,18045,18521,18798,19076,19353,19631,19908,20185,20463,20740,21018,21295,21178,21061,20944,20827,20710,20594,20477,20360,20243,20126,20110,20095,20080,20064,20048,20033,20018,20002,19986,19971,20012,20052,20093,20133,20174,20215,20255,20296,20336,20377,20320,20263,20206,20149,20092,20036,19979,19922,19865,19808,19871,19935,19998,20061,20124,20188,20251,20314,20378,20441,20393,20344,20296,20576,20856
Marlborough,12980,13103,13226,13349,13472,13595,13718,13841,13964,14087,14210,14333,14456,14579,14675,14770,14866,14961,15057,15153,15248,15344,15439,15535,15540,15545,15551,15556,15561,15566,15571,15577,15582,15587,15544,15500,15457,15414,15370,15327,15284,15241,15197,15154,15214,15274,15335,15395,15455,15515,15575,15636,15696,15756,16062,16369,16675,16981,17288,17594,17900,18206,18513,18819,19731,20642,21554,22466,23378,24289,25201,26113,27024,27936,28204,28472,28740,29008,29276,29545,29813,30081,30349,30617,30737,30856,30976,31095,31215,31335,31454,31574,31693,31813,32257,32701,33146,33590,34034,34478,34922,35367,35811,36255,36479,36704,36928,37153,37377,37601,37826,38050,38275,38499,38828,39158,39487,39817,40146,40475,40805,41134,41464,41793,41588,41384,41179,42169,43159
Marshfield,1817,1814,1812,1810,1808,1806,1803,1801,1799,1797,1795,1792,1790,1788,1747,1706,1665,1624,1584,1543,1502,1461,1420,1379,1404,1428,1453,1477,1502,1527,1551,1576,1600,1625,1704,1784,1863,1943,2022,2101,2181,2260,2340,2419,2504,2589,2673,2758,2843,2928,3013,3097,3182,3267,3615,3963,4311,4659,5008,5356,5704,6052,6400,6748,7596,8443,9290,10138,10986,11833,12680,13528,14376,15223,15792,16362,16931,17500,18070,18639,19208,19777,20347,20916,20978,21039,21100,21162,21224,21285,21346,21408,21470,21531,21810,22090,22369,22648,22928,23207,23486,23765,24045,24324,24405,24486,24566,24647,24728,24809,24890,24970,25051,25132,25201,25271,25340,25409,25478,25548,25617,25686,25756,25825,25805,25785,25765,26043,26321
Maynard,12538,12695,12852,13009,13166,13323,13480,13637,13794,13951,14108,14265,14422,14579,14624,14669,14714,14759,14804,14848,14893,14938,14983,15028,14241,13454,12666,11879,11092,10305,9518,8730,7943,7156,7122,7087,7053,7018,6984,6950,6915,6881,6846,6812,6829,6845,6862,6878,6895,6912,6928,6945,6961,6978,7050,7121,7193,7265,7336,7408,7480,7552,7623,7695,7896,8098,8300,8501,8702,8904,9106,9307,9508,9710,9698,9686,9674,9662,9650,9638,9626,9614,9602,9590,9664,9737,9810,9884,9958,10031,10104,10178,10252,10325,10336,10347,10357,10368,10379,10390,10401,10411,10422,10433,10400,10368,10335,10302,10270,10237,10204,10171,10139,10106,10170,10234,10298,10362,10426,10490,10554,10618,10682,10746,10699,10651,10604,10820,11036
Medfield,2764,2818,2872,2926,2980,3034,3088,3142,3196,3250,3304,3358,3412,3466,3479,3492,3505,3518,3530,3543,3556,3569,3582,3595,3642,3689,3736,3783,3830,3878,3925,3972,4019,4066,4098,4130,4161,4193,4225,4257,4289,4320,4352,4384,4400,4417,4434,4450,4466,4483,4500,4516,4532,4549,4696,4843,4991,5138,5285,5432,5579,5727,5874,6021,6401,6781,7161,7541,7921,8301,8681,9061,9441,9821,9861,9901,9941,9981,10020,10060,10100,10140,10180,10220,10251,10282,10313,10344,10376,10407,10438,10469,10500,10531,10705,10879,11054,11228,11402,11576,11750,11925,12099,12273,12248,12223,12198,12173,12148,12124,12099,12074,12049,12024,12102,12179,12256,12334,12412,12489,12566,12644,12722,12799,12895,12992,13088,13334,13580
Medford,16769,17261,17752,18244,18736,19227,19719,20210,20702,21194,21685,22177,22668,23160,24748,26336,27923,29511,31099,32687,34275,35862,37450,39038,41106,43173,45241,47308,49376,51444,53511,55579,57646,59714,60051,60388,60725,61062,61398,61735,62072,62409,62746,63083,63386,63689,63992,64295,64598,64901,65204,65507,65810,66113,65999,65885,65770,65656,65542,65428,65314,65199,65085,64971,64914,64856,64799,64741,64684,64627,64569,64512,64454,64397,63765,63133,62501,61869,61236,60604,59972,59340,58708,58076,58009,57942,57875,57808,57742,57675,57608,57541,57474,57407,57230,57053,56876,56699,56522,56346,56169,55992,55815,55638,55692,55745,55798,55852,55906,55959,56012,56066,56120,56173,56522,56870,57219,57567,57916,58265,58613,58962,59310,59659,59354,59049,58744,59898,61052
Medway,2780,2774,2768,2761,2754,2748,2742,2735,2728,2722,2716,2709,2702,2696,2722,2748,2774,2800,2826,2852,2878,2904,2930,2956,2976,2995,3015,3035,3054,3074,3094,3114,3133,3153,3167,3182,3196,3211,3225,3239,3254,3268,3283,3297,3342,3386,3431,3476,3520,3565,3610,3655,3699,3744,3886,4029,4171,4314,4456,4598,4741,4883,5026,5168,5445,5722,5999,6276,6553,6830,7107,7384,7661,7938,7989,8040,8091,8142,8192,8243,8294,8345,8396,8447,8595,8744,8892,9041,9189,9337,9486,9634,9783,9931,10183,10434,10686,10938,11190,11441,11693,11945,12196,12448,12478,12509,12539,12570,12600,12630,12661,12691,12722,12752,12788,12825,12861,12897,12934,12970,13006,13042,13079,13115,13263,13412,13560,13836,14112
Melrose,12136,12411,12687,12962,13237,13513,13788,14063,14338,14614,14889,15164,15440,15715,15964,16213,16462,16711,16960,17208,17457,17706,17955,18204,18701,19197,19694,20190,20687,21184,21680,22177,22673,23170,23386,23603,23819,24035,24252,24468,24684,24900,25117,25333,25498,25664,25830,25995,26160,26326,26492,26657,26822,26988,27251,27514,27777,28040,28304,28567,28830,29093,29356,29619,29975,30331,30687,31043,31400,31756,32112,32468,32824,33180,32868,32555,32242,31930,31618,31305,30992,30680,30368,30055,29864,29674,29484,29293,29102,28912,28722,28531,28340,28150,28048,27947,27845,27744,27642,27540,27439,27337,27236,27134,27119,27104,27089,27074,27058,27043,27028,27013,26998,26983,27266,27550,27833,28117,28400,28683,28967,29250,29534,29817,29664,29510,29357,29938,30519
Middleton,752,781,810,839,868,897,926,955,984,1013,1042,1071,1100,1129,1133,1136,1140,1143,1147,1151,1154,1158,1161,1165,1220,1274,1329,1384,1438,1493,1548,1603,1657,1712,1776,1839,1903,1966,2030,2094,2157,2221,2284,2348,2405,2462,2518,2575,2632,2689,2746,2802,2859,2916,2996,3076,3157,3237,3317,3397,3477,3558,3638,3718,3751,3783,3816,3848,3881,3914,3946,3979,4011,4044,4053,4062,4071,4080,4090,4099,4108,4117,4126,4135,4214,4292,4371,4449,4528,4607,4685,4764,4842,4921,5203,5486,5768,6050,6332,6615,6897,7179,7462,7744,7868,7993,8117,8241,8366,8490,8614,8738,8863,8987,9066,9145,9225,9304,9383,9462,9541,9621,9700,9779,9802,9826,9849,9959,10069
Milford,10872,11040,11208,11376,11544,11712,11880,12048,12216,12383,12551,12719,12887,13055,13097,13138,13180,13221,13263,13305,13346,13388,13429,13471,13598,13725,13852,13979,14106,14233,14360,14487,14614,14741,14806,14870,14935,15000,15064,15129,15194,15259,15323,15388,15393,15399,15404,15410,15415,15420,15426,15431,15437,15442,15473,15503,15534,15565,15596,15626,15657,15688,15718,15749,16109,16470,16830,17190,17550,17911,18271,18631,18992,19352,19756,20160,20563,20967,21371,21775,22179,22582,22986,23390,23586,23783,23980,24176,24372,24569,24766,24962,25158,25355,25492,25628,25764,25901,26038,26174,26310,26447,26584,26720,26848,26976,27104,27232,27360,27487,27615,27743,27871,27999,28237,28475,28713,28951,29189,29427,29665,29903,30141,30379,30338,30298,30257,30640,31023
Millis,952,986,1019,1053,1087,1120,1154,1188,1222,1255,1289,1323,1356,1390,1400,1409,1418,1428,1438,1447,1456,1466,1476,1485,1510,1536,1561,1586,1612,1637,1662,1687,1713,1738,1792,1846,1900,1954,2008,2062,2116,2170,2224,2278,2305,2333,2360,2387,2414,2442,2469,2496,2524,2551,2733,2916,3098,3280,3462,3645,3827,4009,4192,4374,4505,4636,4768,4899,5030,5161,5292,5424,5555,5686,5808,5930,6053,6175,6297,6419,6541,6664,6786,6908,6978,7049,7120,7190,7260,7331,7402,7472,7542,7613,7642,7671,7700,7729,7758,7786,7815,7844,7873,7902,7901,7900,7899,7898,7896,7895,7894,7893,7892,7891,7948,8005,8062,8119,8176,8232,8289,8346,8403,8460,8646,8832,9018,9338,9658
Milton,6444,6489,6533,6578,6623,6667,6712,6756,6801,6846,6890,6935,6979,7024,7360,7696,8031,8367,8703,9039,9375,9710,10046,10382,10987,11592,12198,12803,13408,14013,14618,15224,15829,16434,16661,16889,17116,17344,17571,17798,18026,18253,18481,18708,19077,19445,19814,20183,20552,20920,21289,21658,22026,22395,22793,23191,23589,23987,24385,24783,25181,25579,25977,26375,26456,26538,26620,26701,26782,26864,26946,27027,27108,27190,27057,26924,26791,26658,26525,26392,26259,26126,25993,25860,25846,25833,25820,25806,25792,25779,25766,25752,25738,25725,25759,25792,25826,25860,25894,25927,25961,25995,26028,26062,26156,26250,26344,26438,26532,26627,26721,26815,26909,27003,27166,27328,27491,27654,27816,27979,28142,28305,28467,28630,28545,28459,28374,28811,29248
Nahant,1142,1146,1149,1152,1155,1158,1162,1165,1168,1171,1174,1178,1181,1184,1197,1211,1224,1238,1251,1264,1278,1291,1305,1318,1352,1385,1419,1452,1486,1520,1553,1587,1620,1654,1672,1690,1708,1726,1744,1763,1781,1799,1817,1835,1919,2004,2088,2173,2257,2341,2426,2510,2595,2679,2807,2935,3063,3191,3320,3448,3576,3704,3832,3960,3976,3992,4008,4024,4040,4055,4071,4087,4103,4119,4102,4085,4067,4050,4033,4016,3999,3981,3964,3947,3935,3923,3911,3899,3888,3876,3864,3852,3840,3828,3808,3789,3769,3750,3730,3710,3691,3671,3652,3632,3610,3588,3565,3543,3521,3499,3477,3454,3432,3410,3402,3395,3387,3380,3372,3364,3357,3349,3342,3334,3323,3311,3300,3338,3376
Natick,9375,9412,9450,9488,9526,9564,9601,9639,9677,9715,9753,9790,9828,9866,9880,9894,9908,9922,9936,9951,9965,9979,9993,10007,10365,10723,11082,11440,11798,12156,12514,12873,13231,13589,13615,13641,13668,13694,13720,13746,13772,13799,13825,13851,14450,15048,15647,16246,16844,17443,18042,18641,19239,19838,20737,21637,22536,23435,24334,25234,26133,27032,27932,28831,29054,29276,29499,29721,29944,30167,30389,30612,30834,31057,30897,30738,30578,30419,30259,30099,29940,29780,29621,29461,29566,29671,29776,29881,29986,30090,30195,30300,30405,30510,30676,30842,31008,31174,31340,31506,31672,31838,32004,32170,32254,32337,32421,32504,32588,32672,32755,32839,32922,33006,33406,33806,34206,34606,35006,35406,35806,36206,36606,37006,36843,36681,36518,37316,38114
Needham,3713,3814,3915,4016,4117,4218,4319,4420,4521,4622,4723,4824,4925,5026,5225,5423,5622,5820,6019,6218,6416,6615,6813,7012,7395,7779,8162,8545,8928,9312,9695,10078,10462,10845,11005,11165,11325,11485,11645,11805,11965,12125,12285,12445,12832,13219,13605,13992,14379,14766,15153,15539,15926,16313,17261,18209,19157,20105,21053,22001,22949,23897,24845,25793,26188,26584,26980,27375,27770,28166,28562,28957,29352,29748,29563,29379,29194,29009,28824,28640,28455,28270,28086,27901,27867,27832,27798,27763,27729,27695,27660,27626,27591,27557,27649,27741,27833,27925,28018,28110,28202,28294,28386,28478,28519,28560,28600,28641,28682,28723,28764,28804,28845,28886,29206,29527,29848,30168,30488,30809,31130,31450,31770,32091,32113,32135,32157,32931,33705
Newton,31721,32343,32965,33587,34209,34831,35453,36075,36696,37318,37940,38562,39184,39806,40431,41056,41680,42305,42930,43555,44180,44804,45429,46054,47976,49898,51821,53743,55665,57587,59509,61432,63354,65276,65736,66195,66655,67115,67574,68034,68494,68954,69413,69873,71085,72297,73509,74721,75934,77146,78358,79570,80782,81994,83033,84072,85111,86150,87189,88228,89267,90306,91345,92384,92252,92120,91989,91857,91725,91593,91461,91330,91198,91066,90322,89577,88833,88088,87344,86600,85855,85111,84366,83622,83518,83415,83311,83207,83104,83000,82896,82792,82689,82585,82710,82834,82959,83083,83208,83333,83457,83582,83706,83831,83962,84094,84226,84357,84488,84620,84752,84883,85014,85146,85524,85901,86279,86657,87034,87412,87790,88168,88545,88923,88754,88584,88415,90700,92985
Norfolk,986,984,982,980,978,976,974,972,970,968,966,964,962,960,980,1000,1020,1040,1060,1079,1099,1119,1139,1159,1186,1213,1240,1267,1294,1321,1348,1375,1402,1429,1516,1602,1688,1775,1862,1948,2034,2121,2208,2294,2335,2376,2417,2458,2499,2540,2581,2622,2663,2704,2781,2857,2934,3011,3088,3164,3241,3318,3394,3471,3590,3708,3826,3945,4064,4182,4300,4419,4538,4656,4827,4997,5168,5339,5510,5680,5851,6022,6192,6363,6654,6944,7235,7526,7816,8107,8398,8689,8979,9270,9389,9508,9627,9746,9865,9984,10103,10222,10341,10460,10537,10613,10690,10767,10844,10920,10997,11074,11150,11227,11270,11314,11358,11401,11444,11488,11532,11575,11618,11662,11639,11617,11594,11962,12330
North Reading,1028,1030,1033,1035,1037,1040,1042,1045,1047,1049,1052,1054,1057,1059,1082,1104,1127,1150,1172,1195,1218,1241,1263,1286,1352,1418,1484,1550,1616,1681,1747,1813,1879,1945,2039,2133,2227,2321,2416,2510,2604,2698,2792,2886,3038,3189,3341,3492,3644,3796,3947,4099,4250,4402,4795,5188,5581,5974,6366,6759,7152,7545,7938,8331,8624,8918,9211,9504,9798,10091,10384,10677,10971,11264,11283,11302,11321,11340,11360,11379,11398,11417,11436,11455,11510,11564,11619,11674,11728,11783,11838,11893,11947,12002,12186,12369,12552,12736,12920,13103,13286,13470,13654,13837,13942,14048,14154,14259,14364,14470,14576,14681,14786,14892,14958,15024,15091,15157,15223,15289,15355,15422,15488,15554,15721,15887,16054,16379,16704
Norwell,1475,1470,1465,1460,1455,1450,1445,1440,1435,1430,1425,1420,1415,1410,1404,1398,1391,1385,1379,1373,1367,1360,1354,1348,1365,1382,1399,1416,1434,1451,1468,1485,1502,1519,1554,1589,1625,1660,1695,1730,1765,1801,1836,1871,1935,2000,2064,2129,2193,2257,2322,2386,2451,2515,2784,3053,3323,3592,3861,4130,4399,4669,4938,5207,5466,5725,5984,6243,6502,6760,7019,7278,7537,7796,7935,8073,8212,8350,8489,8628,8766,8905,9043,9182,9192,9201,9211,9221,9230,9240,9250,9260,9269,9279,9328,9376,9425,9473,9522,9571,9619,9668,9716,9765,9839,9913,9987,10061,10136,10210,10284,10358,10432,10506,10590,10675,10760,10844,10928,11013,11098,11182,11266,11351,11334,11316,11299,11477,11655
