Municipality,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Braintree,6497,6811,7125,7439,7753,8067,8381,8695,9010,9324,9638,9952,10266,10580,11116,11652,12189,12725,13261,13797,14333,14870,15406,15942,15919,15896,15873,15850,15827,15804,15781,15758,15735,15712,15779,15845,15912,15978,16045,16112,16178,16245,16311,16378,17056,17735,18413,19091,19770,20448,21126,21804,22483,23161,23952,24743,25533,26324,27115,27906,28697,29487,30278,31069,31467,31865,32263,32661,33060,33458,33856,34254,34652,35050,35179,35307,35436,35565,35694,35822,35951,36080,36208,36337,36087,35837,35587,35337,35086,34836,34586,34336,34086,33836,33835,33834,33834,33833,33832,33831,33830,33830,33829,33828,34020,34211,34403,34594,34786,34978,35169,35361,35552,35744,36084,36424,36764,37104,37444,37783,38123,38463,38803,39143,38925,38708,38490,39134,39778
Brookline,17578,18364,19149,19935,20721,21506,22292,23078,23864,24649,25435,26221,27006,27792,28788,29783,30779,31774,32770,33766,34761,35757,36752,37748,38722,39696,40671,41645,42619,43593,44567,45542,46516,47490,47720,47949,48179,48408,48638,48868,49097,49327,49556,49786,50566,51347,52127,52907,53688,54468,55248,56028,56809,57589,57234,56880,56526,56171,55816,55462,55108,54753,54398,54044,54528,55012,55497,55981,56465,56949,57433,57918,58402,58886,58504,58121,57739,57356,56974,56592,56209,55827,55444,55062,55028,54993,54959,54924,54890,54856,54821,54787,54752,54718,54957,55195,55434,55673,55912,56150,56389,56628,56866,57105,57268,57430,57593,57756,57918,58081,58244,58407,58569,58732,59178,59624,60070,60516,60962,61407,61853,62299,62745,63191,63115,63038,62962,63925,64888
Burlington,594,593,593,593,593,593,592,592,592,592,592,591,591,591,620,650,679,709,738,767,797,826,856,885,969,1052,1136,1220,1304,1387,1471,1555,1638,1722,1777,1833,1888,1943,1998,2054,2109,2164,2220,2275,2372,2470,2568,2665,2762,2860,2958,3055,3152,3250,4210,5170,6131,7091,8051,9011,9971,10932,11892,12852,13765,14678,15590,16503,17416,18329,19242,20154,21067,21980,22131,22281,22432,22582,22733,22884,23034,23185,23335,23486,23468,23449,23431,23412,23394,23376,23357,23339,23320,23302,23259,23217,23174,23132,23089,23046,23004,22961,22919,22876,23038,23200,23363,23525,23687,23849,24011,24174,24336,24498,24686,24874,25062,25250,25438,25625,25813,26001,26189,26377,26427,26477,26527,26977,27427
Cambridge,88000,89295,90591,91886,93181,94477,95772,97067,98362,99658,100953,102248,103544,104839,105324,105810,106296,106781,107266,107752,108238,108723,109208,109694,110089,110484,110879,111274,111668,112063,112458,112853,113248,113643,113367,113090,112814,112537,112261,111985,111708,111432,111155,110879,111865,112851,113837,114823,115810,116796,117782,118768,119754,120740,119438,118135,116833,115530,114228,112926,111623,110321,109018,107716,106980,106245,105510,104774,104038,103303,102568,101832,101096,100361,99857,99353,98849,98345,97842,97338,96834,96330,95826,95322,95370,95418,95466,95514,95562,95610,95658,95706,95754,95802,96357,96913,97468,98023,98578,99134,99689,100244,100800,101355,101736,102116,102497,102878,103258,103639,104020,104401,104781,105162,106486,107810,109134,110458,111782,113107,114431,115755,117079,118403,118340,118277,118214,121186,124158
Canton,4520,4541,4563,4584,4605,4627,4648,4669,4690,4712,4733,4754,4776,4797,4912,5027,5141,5256,5371,5486,5601,5715,5830,5945,5932,5919,5906,5893,5880,5868,5855,5842,5829,5816,5872,5929,5986,6042,6098,6155,6212,6268,6324,6381,6489,6598,6706,6815,6923,7031,7140,7248,7357,7465,7996,8526,9057,9587,10118,10649,11179,11710,12240,12771,13204,13637,14070,14503,14936,15368,15801,16234,16667,17100,17208,17316,17425,17533,17641,17749,17857,17966,18074,18182,18217,18252,18286,18321,18356,18391,18426,18460,18495,18530,18754,18979,19204,19428,19652,19877,20102,20326,20550,20775,20854,20932,21011,21089,21168,21247,21325,21404,21482,21561,21842,22123,22404,22685,22966,23246,23527,23808,24089,24370,24458,24547,24635,25163,25691
Carlisle,459,466,473,480,487,494,501,508,516,523,530,537,544,551,542,533,525,516,507,498,489,481,472,463,474,484,495,505,516,527,537,548,558,569,587,605,622,640,658,676,694,711,729,747,760,773,786,799,812,824,837,850,863,876,937,998,1060,1121,1182,1243,1304,1366,1427,1488,1626,1765,1903,2041,2180,2318,2456,2594,2733,2871,2914,2958,3002,3045,3088,3132,3176,3219,3262,3306,3409,3511,3614,3717,3820,3922,4025,4128,4230,4333,4371,4410,4448,4487,4525,4563,4602,4640,4679,4717,4730,4744,4758,4771,4784,4798,4812,4825,4838,4852,4890,4929,4968,5006,5044,5083,5122,5160,5198,5237,5222,5207,5192,5317,5442
Chelsea,30658,30796,30934,31072,31210,31348,31486,31624,31762,31900,32038,32176,32314,32452,33525,34598,35672,36745,37818,38891,39964,41038,42111,43184,43447,43710,43974,44237,44500,44763,45026,45290,45553,45816,45360,44905,44449,43993,43538,43082,42626,42170,41715,41259,41024,40790,40555,40320,40086,39851,39616,39381,39147,38912,38396,37879,37363,36847,36330,35814,35298,34782,34265,33749,33437,33124,32812,32499,32187,31875,31562,31250,30937,30625,30106,29586,29067,28547,28028,27509,26989,26470,25950,25431,25759,26087,26415,26743,27070,27398,27726,28054,28382,28710,29347,29984,30621,31258,31895,32532,33169,33806,34443,35080,35090,35099,35109,35119,35128,35138,35148,35158,35167,35177,35738,36299,36860,37421,37982,38543,39104,39665,40226,40787,39964,39142,38319,40245,42171
Cohasset,2811,2794,2776,2759,2742,2724,2707,2689,2672,2655,2637,2620,2602,2585,2590,2596,2601,2607,2612,2617,2623,2628,2634,2639,2683,2728,2772,2817,2861,2905,2950,2994,3039,3083,3086,3089,3091,3094,3097,3100,3103,3105,3108,3111,3173,3235,3297,3359,3421,3483,3545,3607,3669,3731,3942,4153,4364,4575,4786,4996,5207,5418,5629,5840,5951,6063,6174,6286,6397,6508,6620,6731,6843,6954,6976,6998,7020,7042,7064,7086,7108,7130,7152,7174,7164,7154,7144,7134,7124,7115,7105,7095,7085,7075,7094,7112,7131,7149,7168,7187,7205,7224,7242,7261,7289,7317,7345,7373,7402,7430,7458,7486,7514,7542,7626,7710,7794,7878,7962,8045,8129,8213,8297,8381,8385,8388,8392,8532,8672
Concord,5768,5819,5869,5919,5969,6019,6070,6120,6170,6220,6270,6321,6371,6421,6419,6417,6415,6413,6411,6409,6407,6405,6403,6401,6509,6616,6724,6831,6939,7047,7154,7262,7369,7477,7526,7576,7626,7675,7724,7774,7824,7873,7922,7972,8037,8102,8167,8232,8298,8363,8428,8493,8558,8623,9012,9402,9791,10181,10570,10959,11349,11738,12128,12517,12880,13243,13606,13969,14332,14696,15059,15422,15785,16148,16162,16177,16192,16206,16220,16235,16250,16264,16278,16293,16371,16450,16528,16606,16684,16763,16841,16919,16998,17076,17068,17059,17051,17043,17034,17026,17018,17010,17001,16993,17060,17128,17196,17263,17330,17398,17466,17533,17600,17668,17750,17833,17915,17997,18080,18162,18244,18326,18409,18491,18356,18221,18086,18092,18098
Danvers,8282,8369,8456,8542,8628,8715,8802,8888,8974,9061,9148,9234,9320,9407,9577,9747,9917,10087,10258,10428,10598,10768,10938,11108,11293,11478,11663,11848,12032,12217,12402,12587,12772,12957,13079,13201,13324,13446,13568,13690,13812,13935,14057,14179,14333,14487,14641,14795,14950,15104,15258,15412,15566,15720,16341,16961,17582,18202,18823,19444,20064,20685,21305,21926,22348,22771,23194,23616,24038,24461,24884,25306,25728,26151,25946,25741,25536,25331,25126,24920,24715,24510,24305,24100,24107,24115,24122,24130,24137,24144,24152,24159,24167,24174,24256,24338,24421,24503,24585,24667,24749,24832,24914,24996,25146,25295,25445,25595,25744,25894,26044,26194,26343,26493,26652,26812,26971,27131,27290,27449,27609,27768,27928,28087,28023,27960,27896,28590,29284
